,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Item Nr.,Description ,Content/L,Preis,Preis per L
PKW-Motorenöle,,,,
230320200,MÖLLER AF G12+ Concentrate,200,316.43 €,1.58 €
230320060,VW/Audi/Seat/Skoda TL774-D/F (G12/12+) ,60,,
230320020,"MB 325.3, ADE, Bergen Engines 2.13.01",20,,
230320005,DAF 74002 Aston Martin,5,8.94 €,1.79 €
230320015,Case New Holland MAT3624,1.5,2.90 €,1.93 €
230330200,MÖLLER AF G12+ Readymix -40°C,200,241.46 €,1.21 €
230330060,VW/Audi/Seat/Skoda TL774-D/F (G12/12+),60,,
230330020,"MB 325.3, John Deere JDM H5",20,,
230330005,"MAN 324 SNF, Opel-GM GMW 3420",5,7.07 €,1.41 €
230330015,MTU MTL 504B,1.5,2.34 €,1.56 €
230340200,MÖLLER AF G13 Concentrate,200,325.58 €,1.63 €
230340060,"•	ASTM D3306/D4985 • SAE J1034 • BS 6580",60,,
230340020,"•	VW TL 774-J (G13) • JIS K 2234",20,,
230340005,,5,9.17 €,1.83 €
230340015,,1.5,2.96 €,1.97 €
230350200,MÖLLER AF G13 Readymix -40°C,200,244.53 €,1.22 €
230350060,MTU MTL 504B,60,,
230350020,"•	VW TL 774-J (G13) • JIS K 2234",20,,
230350005,,5,7.13 €,1.43 €
230350015,,1.5,2.36 €,1.57 €
,,,,
1,,,,
